"","meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","Age"
"11",0.076565193,0.069526836,0.053166572,0.018624218,0.11652075,0.097896532,2.67654117,11.70023411,0.932141889,0.564600519,0.002069358,0.076565193,0.155447699,0.052287582,0.277456647,1.250614466,0,10.7109375,10.7109375,0.119933312,"young"
"12",0.089076283,0.084430194,0.053562546,0.01874177,0.149831748,0.131089978,3.347214371,16.97092586,0.941268088,0.640693185,0.013621068,0.089076283,0.147336967,0.04729064,0.279069767,0.427623821,0,5.3671875,5.3671875,0.072321294,"young"
"13",0.084850507,0.081431799,0.054901961,0.012444444,0.140915033,0.128470588,4.17829051,23.97931296,0.915175743,0.600933129,0.006222222,0.084850507,0.119681681,0.046920821,0.274285714,0.040104167,0,0.46875,0.46875,0.06744186,"matured"
"14",0.091014398,0.081444163,0.059480519,0.025844156,0.138051948,0.112207792,2.465983927,10.11019649,0.946483819,0.655210916,0.021168831,0.091014398,0.147016671,0.047337278,0.279069767,0.450324292,0,13.2890625,13.2890625,0.028137473,"young"
"15",0.096532344,0.085253882,0.061372002,0.0218628,0.163970998,0.142108199,2.87602318,13.0988553,0.948145816,0.680981704,0.020457334,0.096532344,0.140584066,0.046920821,0.279069767,0.340164812,0,3.328125,3.328125,0.090473396,"young"
"16",0.088132044,0.077623035,0.067551267,0.023811821,0.116863691,0.09305187,1.731164224,6.707833865,0.945972041,0.605728372,0.012496984,0.088132044,0.123243198,0.047105005,0.275862069,0.519451531,0,5.2265625,5.2265625,0.105890746,"young"
"17",0.095105864,0.077225561,0.070529378,0.027364747,0.144805119,0.117440372,2.157811942,9.609305434,0.946915411,0.624641693,0.01840605,0.095105864,0.119670857,0.04743083,0.272727273,0.153515625,0,3.515625,3.515625,0.055672515,"old"
"18",0.124463332,0.099552786,0.071037037,0.03162963,0.228148148,0.196518519,0.960847339,3.338806529,0.941749378,0.559664044,0.013481481,0.124463332,0.168959805,0.047105005,0.279069767,1.07421875,0,10.59375,10.59375,0.104786806,"young"
"19",0.0942952,0.077153327,0.071260341,0.027659367,0.134072993,0.106413625,3.064376907,16.34374513,0.949189106,0.659208214,0.018257908,0.0942952,0.122841579,0.047105005,0.279069767,0.188575115,0,5.109375,5.109375,0.045235716,"young"
"20",0.103071191,0.078950857,0.072418559,0.030957552,0.185745311,0.154787759,2.285506958,10.52280203,0.93154411,0.58168501,0.019072063,0.103071191,0.131289007,0.046966732,0.279069767,0.085560994,0,0.84375,0.84375,0.094512195,"matured"
"21",0.110126379,0.063771233,0.081958333,0.077729167,0.1225,0.044770833,6.651260211,56.55045106,0.843612652,0.416766411,0.078020833,0.110126379,0.114559638,0.046966732,0.271186441,1.284254808,0,8.8359375,8.8359375,0.07637697,"matured"
"22",0.097037284,0.078392903,0.083445306,0.024358312,0.147838071,0.123479759,2.00836293,7.791599729,0.945628982,0.643618705,0.006270457,0.097037284,0.121308045,0.047384008,0.277456647,0.130418347,0,0.5390625,0.5390625,0.163768116,"matured"
"23",0.121117725,0.100524566,0.084040115,0.027077364,0.238080229,0.211002865,2.381354165,10.7966002,0.942608684,0.638213274,0.022664756,0.121117725,0.140845558,0.04729064,0.279069767,0.262257543,0,1.8515625,1.8515625,0.112147457,"young"
"24",0.120568375,0.068468876,0.084068796,0.078152334,0.170339066,0.092186732,5.840869013,44.31755529,0.873594998,0.471013715,0.080766585,0.120568375,0.10635905,0.04743083,0.277456647,0.792633929,0.0703125,7.6171875,7.546875,0.051165365,"matured"
"25",0.114382429,0.084897157,0.086515301,0.043119447,0.172201382,0.129081935,1.077715507,3.797912459,0.957963361,0.695756876,0.032892399,0.114382429,0.120046477,0.04719764,0.275862069,0.308872768,0,5.4609375,5.4609375,0.071151559,"young"
"26",0.120315496,0.05923032,0.086880658,0.080197531,0.160395062,0.080197531,6.437159394,53.26991223,0.863056806,0.456596421,0.080197531,0.120315496,0.099215882,0.046966732,0.274285714,0.230691964,0,3.09375,3.09375,0.040059688,"matured"
"27",0.109169945,0.073855337,0.086964706,0.039090196,0.167121569,0.128031373,8.559436394,96.65783652,0.905337237,0.580659295,0.038431373,0.109169945,0.096986754,0.046966732,0.277456647,0.099056604,0,0.5390625,0.5390625,0.079503106,"young"
"28",0.103550093,0.086240727,0.087642276,0.023902439,0.178699187,0.154796748,2.320074251,8.776755902,0.935629896,0.640512336,0.02200542,0.103550093,0.134451491,0.047105005,0.271186441,1.325452303,0,8.8125,8.8125,0.187421777,"young"
"29",0.115493573,0.068769197,0.089772934,0.062815622,0.146230699,0.083415077,2.255600558,8.840515138,0.935049662,0.610359484,0.056966394,0.115493573,0.110009241,0.04719764,0.277456647,0.153125,0,0.9140625,0.9140625,0.117595049,"young"
"30",0.102474175,0.086629089,0.089823009,0.019410029,0.197610619,0.17820059,2.868030653,13.73804191,0.920270874,0.545889087,0.011563422,0.102474175,0.117436686,0.047012733,0.279069767,0.774255087,0,4.9921875,4.9921875,0.138062946,"young"
"31",0.100994227,0.086266665,0.094743202,0.012406848,0.180181269,0.167774421,3.780171261,20.22115776,0.916444173,0.569993648,0.008459215,0.100994227,0.12708215,0.046966732,0.279069767,0.103190104,0,1.546875,1.546875,0.10312076,"young"
"32",0.105527589,0.064182777,0.094816626,0.0599022,0.15403423,0.094132029,2.736830534,12.13793098,0.929897284,0.598480549,0.092420538,0.105527589,0.140487373,0.047012733,0.279069767,0.122748941,0,0.703125,0.703125,0.180864198,"matured"
"33",0.120968819,0.094109633,0.094870588,0.029866667,0.224,0.194133333,2.462019551,12.04601092,0.956919157,0.717142039,0.007466667,0.120968819,0.16642947,0.047856431,0.279069767,0.308363971,0,2.1796875,2.1796875,0.115975422,"young"
"34",0.104713187,0.084732088,0.09551952,0.01648048,0.181621622,0.165141141,4.189465781,28.44986453,0.928102228,0.584021755,0.00554955,0.104713187,0.121749761,0.047012733,0.274285714,0.087842988,0,1.453125,1.453125,0.082201471,"young"
"35",0.116880337,0.075685757,0.098080925,0.048231214,0.19033526,0.142104046,2.479249539,14.60694577,0.947780296,0.663770746,0.030427746,0.116880337,0.097529784,0.047012733,0.277456647,0.182477679,0.0234375,7.1015625,7.078125,0.038151454,"young"
"36",0.117207607,0.074891587,0.099398642,0.050378274,0.180329777,0.129951503,1.539677262,6.173922584,0.966696421,0.740813964,0.095189137,0.117207607,0.121711545,0.046920821,0.279069767,0.393841912,0,6.3515625,6.3515625,0.069272056,"matured"
"37",0.111179496,0.087099156,0.099653875,0.029285177,0.165387509,0.136102333,1.927029708,6.949696411,0.948472435,0.662192353,0.017276147,0.111179496,0.130146091,0.047058824,0.279069767,0.20671875,0,0.6796875,0.6796875,0.217168012,"young"
"38",0.112252708,0.072006331,0.099761068,0.048601546,0.168629656,0.12002811,1.333031309,5.09357697,0.964859236,0.742777979,0.103106114,0.112252708,0.125375443,0.047151277,0.277456647,0.546296296,0,8.8359375,8.8359375,0.057709311,"young"
"39",0.114136696,0.062146096,0.099818731,0.075568983,0.164108761,0.088539778,2.572158346,11.97795558,0.944867627,0.652175626,0.100100705,0.114136696,0.129598959,0.04743083,0.279069767,1.091145833,0,5.578125,5.578125,0.16969645,"matured"
"40",0.113797568,0.069579655,0.100459342,0.055096214,0.16459342,0.109497207,1.125701428,4.030686646,0.965093261,0.729433141,0.09733085,0.113797568,0.127894003,0.046920821,0.279069767,0.150625,0,2.34375,2.34375,0.063809524,"matured"
"41",0.114684412,0.064572822,0.100943396,0.078867925,0.171698113,0.092830189,2.394852535,9.950032666,0.939075566,0.597913165,0.097358491,0.114684412,0.122729757,0.046920821,0.275862069,0.262453589,0,4.9921875,4.9921875,0.065035829,"matured"
"42",0.114284977,0.062068435,0.100946626,0.082618328,0.170030211,0.087411883,2.770356781,11.92853031,0.920743453,0.545164392,0.106022155,0.114284977,0.148316396,0.047105005,0.279069767,0.534375,0,5.2265625,5.2265625,0.100431509,"matured"
"43",0.111093629,0.06316156,0.101136512,0.069314174,0.164598302,0.095284128,2.769500749,13.41599959,0.937772326,0.595308147,0.099856303,0.111093629,0.117243653,0.047384008,0.279069767,0.426425971,0,5.859375,5.859375,0.0776,"matured"
"44",0.118237221,0.068813477,0.101168724,0.063144033,0.174222222,0.111078189,1.286062853,4.927761417,0.964577263,0.740555337,0.092872428,0.118237221,0.127064051,0.046966732,0.279069767,0.163611779,0,3.2578125,3.2578125,0.059632294,"matured"
"45",0.116716311,0.080662559,0.102037121,0.039167044,0.186835672,0.147668628,1.747934036,6.080875862,0.95361794,0.672152539,0.091770032,0.116716311,0.125516055,0.04729064,0.279069767,0.598721591,0,9.1640625,9.1640625,0.071734212,"matured"
"46",0.112821979,0.084823849,0.102181041,0.02893799,0.196977904,0.168039914,2.240554363,10.49100654,0.954949919,0.702813202,0.003791875,0.112821979,0.117068982,0.047244094,0.272727273,0.373791881,0,5.2265625,5.2265625,0.078836974,"young"
"47",0.113585958,0.087271472,0.10249833,0.028617234,0.201816967,0.173199733,2.889416088,15.13533663,0.957838556,0.724807325,0.004114896,0.113585958,0.12935692,0.047105005,0.277456647,0.627774533,0,14.390625,14.390625,0.05653345,"young"
"48",0.117242766,0.069809027,0.102750751,0.058186186,0.161441441,0.103255255,1.475844406,5.370264501,0.959386212,0.695410614,0.039687688,0.117242766,0.111042855,0.046966732,0.271186441,0.227241848,0,0.890625,0.890625,0.188820592,"young"
"49",0.11299143,0.068017865,0.103729662,0.057121402,0.155419274,0.098297872,1.522718364,6.760780198,0.9629048,0.719039613,0.109336671,0.11299143,0.119896584,0.047058824,0.272727273,0.365084135,0,6.1640625,6.1640625,0.05578571,"matured"
"50",0.116416908,0.095286516,0.104160625,0.023580591,0.220658115,0.197077524,2.492176098,10.92959412,0.948999445,0.662850187,0.012336866,0.116416908,0.135322724,0.048048048,0.279069767,0.604440789,0,3.984375,3.984375,0.076612332,"young"
"51",0.108958785,0.087250841,0.104246154,0.023433846,0.203495385,0.180061538,2.563265067,11.71046409,0.935585424,0.589235831,0.008615385,0.108958785,0.132244115,0.048,0.279069767,0.537405303,0,5.6953125,5.6953125,0.08436214,"young"
"52",0.121240226,0.069851236,0.104331697,0.062324059,0.187430442,0.125106383,2.356448097,12.45520785,0.958258526,0.699095119,0.100665576,0.121240226,0.110667275,0.046920821,0.277456647,0.5546875,0,19.8984375,19.8984375,0.03160938,"matured"
"53",0.116995076,0.073593308,0.104345969,0.050528564,0.1804378,0.129909237,1.327303124,5.251021367,0.969019596,0.758291015,0.037672184,0.116995076,0.119860401,0.04743083,0.279069767,0.119025735,0,0.6328125,0.6328125,0.113553114,"matured"
"54",0.101803625,0.085052097,0.104384695,0.010858325,0.177642192,0.166783868,5.749673078,45.67683055,0.891535997,0.47588225,0.007094105,0.101803625,0.133167988,0.047571853,0.279069767,0.266129032,0,5.25,5.25,0.050898731,"young"
"55",0.122046353,0.075919955,0.10440678,0.066610169,0.183728814,0.117118644,1.883565356,8.106386116,0.963008142,0.730551005,0.094067797,0.122046353,0.108387323,0.04743083,0.277456647,0.367876838,0,4.921875,4.921875,0.094761905,"young"
"56",0.121067905,0.083588917,0.104825713,0.0484201,0.209397918,0.160977818,0.525279935,3.120905766,0.97481281,0.775792266,0.116740607,0.121067905,0.130806379,0.049792531,0.279069767,0.903108016,0,19.828125,19.828125,0.045623194,"young"
"57",0.115339343,0.084262935,0.10573931,0.031880474,0.198784132,0.166903658,2.456378618,14.20052248,0.94522327,0.615830095,0.008943843,0.115339343,0.154154673,0.046966732,0.279069767,0.154017857,0,1.1015625,1.1015625,0.103276906,"matured"
"58",0.118779519,0.075614567,0.105945946,0.053621622,0.197837838,0.144216216,2.781487289,14.40696187,0.945234899,0.651738381,0.105513514,0.118779519,0.116209916,0.047012733,0.274285714,0.137774493,0,1.546875,1.546875,0.100044563,"young"
"59",0.132356654,0.072637126,0.106044099,0.086433204,0.184124514,0.09769131,4.865232382,41.50741563,0.930196614,0.639322003,0.089701686,0.132356654,0.111004021,0.047058824,0.279069767,0.629464286,0,10.1015625,10.1015625,0.007758121,"young"
"60",0.110369021,0.085554266,0.106078268,0.029142381,0.191873439,0.162731057,1.744131628,6.624281202,0.950529023,0.663125916,0.010258118,0.110369021,0.124668829,0.048048048,0.279069767,0.547807836,0,4.5,4.5,0.091266026,"young"
"61",0.115775322,0.069385654,0.106145723,0.056177402,0.164392819,0.108215417,2.066935997,8.924471038,0.956880887,0.689501437,0.108806758,0.115775322,0.10126772,0.04719764,0.275862069,0.168229167,0,3,3,0.055330882,"matured"
"62",0.115020196,0.08495613,0.106164757,0.027954173,0.201483906,0.173529733,2.052860472,8.356158287,0.94594005,0.634755893,0.009165303,0.115020196,0.128138432,0.047012733,0.279069767,0.933258929,0,18.984375,18.984375,0.069855967,"young"
"63",0.107964268,0.08374189,0.106493131,0.022270427,0.19516992,0.172899494,2.702087246,12.15382364,0.938013755,0.620244796,0.006883586,0.107964268,0.126237928,0.046920821,0.279069767,0.579442771,0,9.1171875,9.1171875,0.086568123,"young"
"64",0.11343211,0.075336044,0.106769231,0.047846154,0.187076923,0.139230769,2.552575813,13.74011096,0.944839529,0.61247213,0.104307692,0.11343211,0.127162089,0.047058824,0.279069767,0.186392717,0,6.3046875,6.3046875,0.051947632,"young"
"65",0.120111469,0.068755143,0.107386798,0.064615385,0.180250955,0.11563557,1.74592529,7.608648742,0.960533154,0.697780472,0.106928532,0.120111469,0.120618721,0.047244094,0.274285714,0.20533288,0,3,3,0.081190665,"matured"
"66",0.123093716,0.072513865,0.107606973,0.066782884,0.183042789,0.116259905,2.059009159,9.044777097,0.954976509,0.696557674,0.09118859,0.123093716,0.11254382,0.047058824,0.277456647,0.258116883,0,5.625,5.625,0.070394737,"young"
"67",0.133337902,0.069303811,0.107667804,0.089192264,0.195267349,0.106075085,3.043456024,13.6941731,0.929512183,0.6278722,0.086962457,0.133337902,0.121967879,0.047337278,0.277456647,0.82265625,0,4.6875,4.6875,0.076296296,"young"
"68",0.120049382,0.062948605,0.107903657,0.091668153,0.161355932,0.069687779,3.349490914,16.5737316,0.933436327,0.624782084,0.102158787,0.120049382,0.132429438,0.046920821,0.277456647,0.249715909,0,4.96875,4.96875,0.044677821,"young"
"69",0.129795301,0.068079377,0.107959559,0.085955882,0.195202206,0.109246324,3.231286446,17.58857132,0.946272709,0.650686453,0.099080882,0.129795301,0.110790922,0.046966732,0.277456647,0.412713068,0,5.3671875,5.3671875,0.077729258,"matured"
"70",0.116326004,0.085923382,0.108306189,0.017785016,0.200879479,0.183094463,3.020558562,15.38373573,0.92639899,0.564346185,0.005016287,0.116326004,0.123644345,0.047058824,0.277456647,0.155539773,0,3.8203125,3.8203125,0.045904006,"young"
"71",0.109666836,0.082409946,0.10855132,0.0251261,0.166029326,0.140903226,2.753957585,12.48941336,0.957413189,0.728514646,0.009196481,0.109666836,0.13429604,0.047105005,0.279069767,0.744932432,0,12.4453125,12.4453125,0.065730532,"young"
"72",0.120408818,0.079381275,0.108583247,0.04705274,0.189079628,0.142026887,2.469721976,10.13895668,0.948340918,0.670140153,0.10655636,0.120408818,0.129873136,0.047058824,0.277456647,0.408166274,0,4.6640625,4.6640625,0.121758794,"old"
"73",0.112133191,0.084175718,0.108723404,0.025744681,0.198297872,0.172553191,1.91944562,6.775475632,0.945887108,0.65268733,0.008297872,0.112133191,0.135204552,0.04729064,0.275862069,0.635336538,0,4.6171875,4.6171875,0.138346382,"young"
"74",0.137399435,0.061017943,0.109565217,0.09942029,0.190724638,0.091304348,4.407148451,28.5915766,0.904756226,0.53360886,0.103478261,0.137399435,0.128872357,0.046966732,0.279069767,1.900705645,0,11.6015625,11.6015625,0.106385281,"young"
"75",0.120457077,0.078506812,0.109585666,0.048443449,0.203337066,0.154893617,2.649335118,11.64365952,0.92292947,0.535088255,0.103941769,0.120457077,0.113462403,0.046966732,0.279069767,0.110422036,0,1.7109375,1.7109375,0.073912389,"young"
"76",0.117392144,0.075937008,0.109777348,0.053126815,0.172933204,0.119806389,1.756117091,6.933000081,0.954119546,0.694004161,0.112758955,0.117392144,0.122353408,0.047244094,0.279069767,0.24309593,0,6.1171875,6.1171875,0.076521924,"young"
"77",0.120437757,0.081984771,0.109808493,0.050124896,0.18674438,0.136619484,0.983036498,4.156545993,0.975988369,0.820984108,0.00746045,0.120437757,0.138679011,0.047713718,0.279069767,0.494944853,0,6.65625,6.65625,0.078598711,"young"
"78",0.12359535,0.073009331,0.109985612,0.058618705,0.18552518,0.126906475,1.101065568,4.294372504,0.969370155,0.767803743,0.099510791,0.12359535,0.118282765,0.046966732,0.277456647,0.264508929,0,3.1640625,3.1640625,0.104713805,"matured"
"79",0.124518114,0.075793652,0.110065359,0.063267974,0.204313725,0.141045752,2.847251147,13.54137989,0.939722554,0.608432881,0.106405229,0.124518114,0.120819643,0.04719764,0.277456647,0.230718085,0,6.28125,6.28125,0.052631579,"young"
"80",0.122444698,0.070100457,0.110641248,0.064055459,0.167175043,0.103119584,1.707939737,7.99106723,0.960158122,0.706511769,0.05507799,0.122444698,0.099336023,0.047012733,0.269662921,0.183759973,0.0234375,0.7734375,0.75,0.162634409,"young"
"81",0.133042636,0.069088978,0.111010101,0.091212121,0.198922559,0.107710438,3.018887237,14.60902558,0.940118176,0.650152635,0.095690236,0.133042636,0.110127404,0.046966732,0.262295082,1.175358953,0,12,12,0.080213759,"young"
"82",0.113786985,0.084932253,0.11131019,0.028533035,0.19643897,0.167905935,2.500712048,11.01300091,0.948174944,0.662622955,0.00893617,0.113786985,0.126055864,0.04719764,0.271186441,0.43279733,0,4.96875,4.96875,0.040896713,"young"
"83",0.126773011,0.057800219,0.111888298,0.102393617,0.15731383,0.054920213,6.26375334,60.94926862,0.901276807,0.518323055,0.106489362,0.126773011,0.107943812,0.04729064,0.279069767,0.58873981,0,7.78125,7.78125,0.016098878,"matured"
"84",0.120654322,0.076464032,0.111972387,0.056055227,0.195502959,0.139447732,2.52583966,13.26959254,0.946963683,0.639964599,0.107830375,0.120654322,0.124066077,0.047105005,0.279069767,0.220132212,0,5.34375,5.34375,0.054290137,"young"
"85",0.137433311,0.058518247,0.112036915,0.092841134,0.200079103,0.10723797,2.807995168,12.77665008,0.911079506,0.478175097,0.101331575,0.137433311,0.111203994,0.047151277,0.277456647,1.313384434,0,6.046875,6.046875,0.135810914,"young"
"86",0.142226653,0.06544671,0.112242424,0.093454545,0.202909091,0.109454545,2.380898762,9.942832507,0.936039956,0.557276024,0.106545455,0.142226653,0.118711226,0.047012733,0.275862069,0.59375,0,6.5390625,6.5390625,0.096102151,"matured"
"87",0.134056201,0.075186029,0.113053546,0.070506512,0.196121563,0.125615051,1.619711279,9.065671595,0.958859648,0.702553388,0.087525326,0.134056201,0.112545249,0.048,0.256684492,0.229940878,0,0.703125,0.703125,0.262857143,"young"
"88",0.133324738,0.072848766,0.11335958,0.082860892,0.203753281,0.120892388,1.904123194,7.799217953,0.958361764,0.708278515,0.108582677,0.133324738,0.116200305,0.047105005,0.279069767,0.424921875,0,5.8125,5.8125,0.081879526,"young"
"89",0.130486897,0.070406551,0.113417722,0.076098287,0.19618764,0.120089352,1.820872604,8.561101138,0.969568221,0.778488652,0.101533879,0.130486897,0.114802358,0.047151277,0.279069767,0.198069853,0,1.078125,1.078125,0.131578947,"matured"
"90",0.132478245,0.062713943,0.114265896,0.095491329,0.190011561,0.094520231,3.227001299,16.44904438,0.929307077,0.621056022,0.096462428,0.132478245,0.113655561,0.048730964,0.274285714,1.331503378,0,12.1640625,12.1640625,0.063187125,"matured"
"91",0.142720301,0.072153959,0.114299517,0.086795491,0.199066023,0.112270531,3.777469099,22.66003516,0.926077921,0.588616859,0.086795491,0.142720301,0.114433333,0.048192771,0.279069767,0.934517045,0,5.6015625,5.6015625,0.107761933,"young"
"92",0.134534586,0.064730727,0.114401806,0.096072235,0.194356659,0.098284424,2.598278384,11.43265271,0.930364284,0.601640457,0.09986456,0.134534586,0.100895912,0.047524752,0.275862069,0.332226563,0,9.46875,9.46875,0.05497655,"young"
"93",0.13664934,0.059984179,0.114795417,0.088216039,0.191096563,0.102880524,2.329923844,8.709185143,0.920895616,0.502828661,0.082258592,0.13664934,0.116649849,0.04719764,0.274285714,0.255744485,0,5.15625,5.15625,0.070674487,"young"
"94",0.135594092,0.069483495,0.114848967,0.105500795,0.188892422,0.083391627,5.216781406,37.30204553,0.913236757,0.555256811,0.109952305,0.135594092,0.110189249,0.047619048,0.274285714,0.263547207,0,7.6171875,7.6171875,0.0430394,"young"
"95",0.128142759,0.073027618,0.115294118,0.067741935,0.186755218,0.119013283,1.695719897,7.11716443,0.963764805,0.745172282,0.105199241,0.128142759,0.118246459,0.047151277,0.275862069,0.457435345,0,11.3671875,11.3671875,0.070139912,"young"
"96",0.144996918,0.060843529,0.115609265,0.103202417,0.198791541,0.095589124,3.5584503,17.97980308,0.903792813,0.498126952,0.112225579,0.144996918,0.111729626,0.046920821,0.272727273,1.08046875,0,4.5703125,4.5703125,0.125534188,"young"
"97",0.128853795,0.078549776,0.115804348,0.072586957,0.195695652,0.123108696,1.656019895,6.423116605,0.968766444,0.766517847,0.104391304,0.128853795,0.116518699,0.048289738,0.279069767,0.295217803,0,4.40625,4.40625,0.063886374,"young"
"98",0.145691007,0.059573579,0.115839243,0.106130812,0.205642238,0.099511426,4.115208179,22.35835004,0.882727468,0.453273907,0.110102443,0.145691007,0.119640554,0.04729064,0.277456647,0.90625,0,5.484375,5.484375,0.139539205,"young"
"99",0.134545533,0.053062495,0.116368794,0.10187234,0.169191489,0.067319149,3.862899955,22.41740029,0.906916692,0.49826144,0.101276596,0.134545533,0.121829475,0.046920821,0.277456647,1.377634448,0,10.2890625,10.2890625,0.066650889,"young"
"100",0.140622404,0.059050176,0.116396075,0.103407672,0.183835861,0.080428189,3.92758859,23.07591996,0.919505871,0.567672385,0.106404996,0.140622404,0.122961022,0.047384008,0.275862069,1.183854167,0,8.15625,8.15625,0.119620422,"young"
"101",0.128717701,0.078183915,0.116448598,0.054135514,0.198878505,0.144742991,1.336544549,4.926635843,0.969704902,0.764651379,0.101074766,0.128717701,0.127250865,0.04729064,0.269662921,0.164722711,0,2.3671875,2.3671875,0.079024569,"matured"
"102",0.114087247,0.064809581,0.116505343,0.084299183,0.145543683,0.0612445,2.341333116,9.32966594,0.933886493,0.589317225,0.121609051,0.114087247,0.129070685,0.046966732,0.279069767,0.125710227,0,6,6,0.034429506,"matured"
"103",0.126435228,0.070426603,0.116745763,0.066915254,0.177966102,0.111050847,3.072126519,22.97225021,0.953248626,0.699254164,0.046508475,0.126435228,0.093423589,0.046920821,0.279069767,0.091755319,0.0234375,0.609375,0.5859375,0.093913043,"matured"
"104",0.14054143,0.069823767,0.116787565,0.092849741,0.19984456,0.106994819,2.972180609,14.67709149,0.935424345,0.603606475,0.095751295,0.14054143,0.12240888,0.046966732,0.279069767,0.27192051,0,10.5703125,10.5703125,0.036207695,"young"
"105",0.114368183,0.065132223,0.117585302,0.086351706,0.138346457,0.051994751,2.358196956,9.062403051,0.928187448,0.560741454,0.122729659,0.114368183,0.119801797,0.047012733,0.279069767,0.055889423,0,0.5390625,0.5390625,0.09026465,"matured"
"106",0.138292056,0.057488256,0.117994723,0.107229551,0.174881266,0.067651715,5.825056955,49.20972692,0.899788147,0.487993308,0.108601583,0.138292056,0.114676502,0.046920821,0.279069767,0.858837891,0,5.8359375,5.8359375,0.108433735,"matured"
"107",0.138601894,0.057495236,0.118192308,0.103384615,0.199230769,0.095846154,3.206967961,15.23095779,0.906144807,0.514013439,0.1085,0.138601894,0.125236394,0.047105005,0.279069767,1.128148321,0,11.765625,11.765625,0.111304781,"young"
"108",0.158976741,0.065849948,0.118344934,0.110007734,0.228352668,0.118344934,4.576027945,28.90774188,0.871971576,0.32400509,0.115529776,0.158976741,0.12104053,0.047713718,0.277456647,0.253764205,0,6.3515625,6.3515625,0.024464945,"matured"
"109",0.140495091,0.072510478,0.118428128,0.105108583,0.206163392,0.101054809,3.499846776,18.25223935,0.930072089,0.59965857,0.113216132,0.140495091,0.115580612,0.04719764,0.279069767,0.112996689,0,5.4609375,5.4609375,0.014812828,"young"
"110",0.133851157,0.074432674,0.11884677,0.068168713,0.200021356,0.131852643,1.185589519,4.767063102,0.959647015,0.648285107,0.107485318,0.133851157,0.116153539,0.047058824,0.274285714,0.946601942,0.0234375,12.4921875,12.46875,0.071467732,"young"
"111",0.149294943,0.061190212,0.118885246,0.102360656,0.206557377,0.104196721,2.887083447,13.28019401,0.902355338,0.494936345,0.10695082,0.149294943,0.106267416,0.047105005,0.279069767,0.441894531,0,2.6015625,2.6015625,0.162962963,"matured"
"112",0.148197523,0.060440206,0.119144385,0.102459893,0.199786096,0.097326203,2.518011413,10.52244365,0.91959005,0.489727526,0.114010695,0.148197523,0.111773547,0.046920821,0.277456647,0.418204066,0,4.21875,4.21875,0.07979798,"matured"
"113",0.130252756,0.080159675,0.119259259,0.062457912,0.213299663,0.150841751,2.48759925,11.09684937,0.940127309,0.625528904,0.112659933,0.130252756,0.120419924,0.047244094,0.275862069,0.071469907,0,0.6328125,0.6328125,0.077577578,"young"
